"ID";"Lake";"object_annotation_category";"Community";"Major_mm";"Taille0.8";"Taille1"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6519;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,72398;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58406;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,70808;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,70808;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66462;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61586;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61904;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,39644;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55862;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61374;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,583;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,69006;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,7473;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,636;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59572;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50032;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64872;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57982;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5777;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59572;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6625;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57346;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58194;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58406;"Petit";"Petit"
