Lake;Latitude;Longitude;Sp_para;Parasites;LT;LF;Weight;Sex;Type;Prof_moy;Superficie;DOC_moy;N_moy;P_moy;Chla_moy;Secchi_moy;Biomasse_moy;Biom_SAFO;pH;Vol_litt;Vol_pela
Baie_Cobb;46,7239857;73,1223291;Apophallus;85;33.8;32.3;349.7;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;27;33.1;31.5;321.5;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;29;32.9;31.3;306;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;232;32.9;31.5;318.2;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;59;32.5;31.1;351.6;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;50;32.2;30.7;289.5;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;99;31.7;30;282.4;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;187;31.3;29.7;280.1;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;54;31.2;29.8;247.5;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;80;31.2;29.6;283.4;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;62;30.6;29.8;269;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;147;30.4;28.9;290.1;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;90;30.3;28.8;243.2;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;99;29.9;28.1;228.5;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;77;29.8;28;256.8;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;48;29.6;27.9;242;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;115;29.6;28;251.1;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;40;29.1;28;237.1;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;34;28.7;27.5;141;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;46;28.6;27.2;198.3;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;59;28.6;26.9;235.3;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;55;28.4;26.9;203.5;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;16;27.8;25.9;178.2;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;124;27.6;26;170.8;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;191;27.5;26;187.9;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;53;27.3;25.9;190;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;132;26.8;25.5;173.7;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;94;25.6;24.3;151.1;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;28;25.1;23.8;132.6;F;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;28;24.8;23.7;147;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;21;23.6;22.1;115.1;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;23;23.2;21.9;113.7;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
Baie_Cobb;46,7239857;73,1223291;Apophallus;15;22.2;21;104.2;M;Allo;5.88;61.7;8.43;311;3;1.08;3.8;286.03;460.2643;5.8675;234303;2755446
